,Crop_Type,Crop,N,P,K,pH,rainfall,temperature,Area_in_hectares,Production_in_tons,target 
179,kharif,sunflower,50,60,30,5.68,1712.66,11.2,20,10,0.5
180,rabi,rapeseed,50,40,20,4.96,241.78,1.18,2780,2700,0.971223022
181,rabi,wheat,60,30,30,6.12,241.78,1.18,196,294,1.5
182,kharif,maize,80,40,20,5.68,1712.66,11.2,1485,2652,1.785858586
183,kharif,rice,80,40,40,5.52,1712.66,11.2,8945,9200,1.028507546
184,kharif,sesamum,30,15,30,6.34,1712.66,11.2,215,75,0.348837209
185,kharif,soyabean,20,60,20,5.5,1712.66,11.2,88,195,2.215909091
186,kharif,sunflower,50,60,30,5.32,1712.66,11.2,40,30,0.75
187,rabi,rapeseed,50,40,20,4.94,241.78,1.18,270,290,1.074074074
188,rabi,wheat,60,30,30,6.12,241.78,1.18,19,81,4.263157895
189,kharif,maize,80,40,20,5.32,1712.66,11.2,2332,4196,1.799313894
190,kharif,rice,80,40,40,5.6,1712.66,11.2,10200,15525,1.522058824
191,kharif,sesamum,30,15,30,6.68,1712.66,11.2,98,80,0.816326531
192,kharif,soyabean,20,60,20,5.54,1712.66,11.2,291,223,0.766323024
193,kharif,sunflower,50,60,30,5.5,1712.66,11.2,22,15,0.681818182
194,rabi,rapeseed,50,40,20,5.18,241.78,1.18,3315,3400,1.025641026
195,rabi,wheat,60,30,30,6.8,241.78,1.18,447,670,1.498881432
196,kharif,maize,80,40,20,5.54,1712.66,11.2,7375,6099,0.826983051
197,kharif,rice,80,40,40,5.4,1712.66,11.2,15070,19600,1.300597213
198,kharif,sesamum,30,15,30,6.56,1712.66,11.2,95,70,0.736842105
199,kharif,soyabean,20,60,20,5.36,1712.66,11.2,187,405,2.165775401
200,kharif,sunflower,50,60,30,5.4,1712.66,11.2,40,20,0.5
201,rabi,rapeseed,50,40,20,5.08,241.78,1.18,6700,6600,0.985074627
202,rabi,wheat,60,30,30,6.5,241.78,1.18,250,300,1.2
203,kharif,maize,80,40,20,5.5,1712.66,11.2,3794,6876,1.812335266
204,kharif,rice,80,40,40,5.5,1712.66,11.2,21064,19900,0.94473984
205,kharif,sesamum,30,15,30,6.32,1712.66,11.2,31,20,0.64516129
206,kharif,soyabean,20,60,20,5.44,1712.66,11.2,69,70,1.014492754
207,kharif,sunflower,50,60,30,5.58,1712.66,11.2,27,10,0.37037037
208,rabi,rapeseed,50,40,20,4.9,241.78,1.18,940,1000,1.063829787
209,rabi,wheat,60,30,30,6.3,241.78,1.18,33,56,1.696969697
210,kharif,maize,80,40,20,5.68,1712.66,11.2,1460,2305,1.578767123
211,kharif,rice,80,40,40,5.48,1712.66,11.2,6938,8400,1.210723551
212,kharif,sesamum,30,15,30,6.5,1712.66,11.2,230,83,0.360869565
213,kharif,soyabean,20,60,20,5.5,1712.66,11.2,255,200,0.784313725
214,kharif,sunflower,50,60,30,5.58,1712.66,11.2,70,23,0.328571429
215,rabi,rapeseed,50,40,20,4.9,241.78,1.18,420,275,0.654761905
216,rabi,wheat,60,30,30,7,241.78,1.18,95,103,1.084210526
217,kharif,maize,80,40,20,5.52,1712.66,11.2,801,1442,1.800249688
218,kharif,rice,80,40,40,5.36,1712.66,11.2,868,1050,1.209677419
219,kharif,soyabean,20,60,20,5.62,1712.66,11.2,130,188,1.446153846
220,kharif,sunflower,50,60,30,5.64,1712.66,11.2,80,42,0.525
221,rabi,rapeseed,50,40,20,5.18,241.78,1.18,55,65,1.181818182
222,rabi,wheat,60,30,30,6.5,241.78,1.18,1695,2712,1.6
223,kharif,maize,80,40,20,5.34,1712.66,11.2,2480,3100,1.25
224,kharif,rice,80,40,40,5.6,1712.66,11.2,5345,3700,0.692235734
225,kharif,soyabean,20,60,20,5.52,1712.66,11.2,370,238,0.643243243
226,kharif,sunflower,50,60,30,5.46,1712.66,11.2,12,2,0.166666667
227,rabi,rapeseed,50,40,20,5.18,241.78,1.18,420,200,0.476190476
228,rabi,wheat,60,30,30,6.3,241.78,1.18,15,15,1
229,kharif,maize,80,40,20,5.42,1712.66,11.2,668,2014,3.01497006
230,kharif,rice,80,40,40,5.6,1712.66,11.2,6200,5800,0.935483871
231,kharif,sesamum,30,15,30,6.58,1712.66,11.2,3,2,0.666666667
232,kharif,soyabean,20,60,20,5.56,1712.66,11.2,10,13,1.3
233,kharif,sunflower,50,60,30,5.36,1712.66,11.2,4,2,0.5
234,rabi,rapeseed,50,40,20,4.98,241.78,1.18,10,10,1
235,kharif,maize,80,40,20,5.56,1712.66,11.2,796,1560,1.959798995
236,kharif,rice,80,40,40,5.38,1712.66,11.2,3915,2750,0.702426564
237,kharif,sesamum,30,15,30,6.48,1712.66,11.2,52,30,0.576923077
238,kharif,soyabean,20,60,20,5.46,1712.66,11.2,71,170,2.394366197
239,kharif,sunflower,50,60,30,5.34,1712.66,11.2,17,10,0.588235294
240,rabi,rapeseed,50,40,20,5.02,241.78,1.18,40,50,1.25
241,rabi,wheat,60,30,30,6.3,241.78,1.18,60,120,2
242,kharif,maize,80,40,20,5.46,1712.66,11.2,3651,5659,1.549986305
243,kharif,rice,80,40,40,5.42,1712.66,11.2,915,880,0.961748634
244,kharif,soyabean,20,60,20,5.4,1712.66,11.2,25,51,2.04
245,kharif,sunflower,50,60,30,5.66,1712.66,11.2,28,16,0.571428571
246,rabi,rapeseed,50,40,20,4.92,241.78,1.18,95,95,1
247,rabi,wheat,60,30,30,6.8,241.78,1.18,670,799,1.192537313
248,kharif,maize,80,40,20,5.34,1712.66,11.2,2930,3840,1.310580205
249,kharif,rice,80,40,40,5.54,1712.66,11.2,18750,16500,0.88
250,kharif,sesamum,30,15,30,6.62,1712.66,11.2,67,45,0.671641791
251,kharif,soyabean,20,60,20,5.5,1712.66,11.2,186,219,1.177419355
252,kharif,sunflower,50,60,30,5.48,1712.66,11.2,37,16,0.432432432
253,rabi,rapeseed,50,40,20,4.92,241.78,1.18,1250,1115,0.892
254,rabi,wheat,60,30,30,6.12,241.78,1.18,65,65,1
255,kharif,rice,80,40,40,5.36,1543.76,27.33333333,83560,43512,0.520727621
256,kharif,cotton,120,40,20,5.42,1543.76,27.33333333,8,4,0.5
257,kharif,jute,80,40,40,5.48,1543.76,27.33333333,8120,52544,6.470935961
258,kharif,maize,80,40,20,5.46,1543.76,27.33333333,46,30,0.652173913
259,rabi,rapeseed,50,40,20,4.92,127.68,20.8,25501,16865,0.661346614
260,rabi,wheat,60,30,30,6.3,127.68,20.8,12675,15645,1.234319527
261,summer,rice,80,40,40,5.52,497.88,25.03333333,8850,12831,1.449830508
262,whole year,arecanut,100,40,140,6.18,2169.32,23.73636364,7160,5360,0.748603352
263,whole year,onion,120,60,65,6.08,2169.32,23.73636364,1245,1868,1.500401606
264,whole year,potato,180,60,90,5.12,2169.32,23.73636364,10610,165586,15.60659755
265,whole year,sesamum,30,15,30,6.6,2169.32,23.73636364,1420,852,0.6
266,whole year,sweetpotato,90,20,120,4.82,2169.32,23.73636364,849,2123,2.500588928
267,whole year,tapioca,50,50,50,5.66,2169.32,23.73636364,42,210,5
268,whole year,turmeric,25,60,100,4.92,2169.32,23.73636364,760,608,0.8
269,rabi,rice,80,40,40,5.4,127.68,20.8,103015,76589,0.743474251
270,kharif,rice,80,40,40,5.52,1543.76,27.33333333,29514,14056,0.47624856
271,kharif,cotton,120,40,20,5.46,1543.76,27.33333333,11,4,0.363636364
272,kharif,jute,80,40,40,5.36,1543.76,27.33333333,5925,63278,10.67983122
273,kharif,maize,80,40,20,5.48,1543.76,27.33333333,375,228,0.608
274,rabi,rapeseed,50,40,20,4.88,127.68,20.8,13347,8304,0.622162284
275,rabi,wheat,60,30,30,6.8,127.68,20.8,5397,6458,1.196590699
276,summer,rice,80,40,40,5.58,497.88,25.03333333,6366,5462,0.857995602
277,whole year,arecanut,100,40,140,5.98,2169.32,23.73636364,2950,3521,1.193559322
278,whole year,onion,120,60,65,5.84,2169.32,23.73636364,327,654,2
279,whole year,potato,180,60,90,4.96,2169.32,23.73636364,2720,21843,8.030514706
280,whole year,sesamum,30,15,30,6.36,2169.32,23.73636364,1029,552,0.536443149
281,whole year,sweetpotato,90,20,120,4.84,2169.32,23.73636364,390,1170,3
282,whole year,tapioca,50,50,50,5.62,2169.32,23.73636364,130,554,4.261538462
283,whole year,turmeric,25,60,100,4.94,2169.32,23.73636364,516,302,0.585271318
284,rabi,rice,80,40,40,5.34,127.68,20.8,56841,38596,0.679016907
285,kharif,rice,80,40,40,5.4,1543.76,27.33333333,8278,7956,0.961101715
286,kharif,cotton,120,40,20,5.5,1543.76,27.33333333,115,43,0.373913043
287,kharif,jute,80,40,40,5.32,1543.76,27.33333333,96,917,9.552083333
288,kharif,maize,80,40,20,5.64,1543.76,27.33333333,65,33,0.507692308
289,rabi,rapeseed,50,40,20,4.98,127.68,20.8,1020,641,0.628431373
290,rabi,wheat,60,30,30,6.6,127.68,20.8,35,45,1.285714286
291,summer,rice,80,40,40,5.62,497.88,25.03333333,7200,7843,1.089305556
292,whole year,arecanut,100,40,140,6,2169.32,23.73636364,4505,1058,0.234850166
293,whole year,onion,120,60,65,5.98,2169.32,23.73636364,90,292,3.244444444
294,whole year,potato,180,60,90,5.04,2169.32,23.73636364,1295,6695,5.16988417
295,whole year,sesamum,30,15,30,6.58,2169.32,23.73636364,145,51,0.351724138
296,whole year,sweetpotato,90,20,120,4.94,2169.32,23.73636364,150,788,5.253333333
297,whole year,tapioca,50,50,50,5.36,2169.32,23.73636364,30,122,4.066666667
298,whole year,turmeric,25,60,100,4.9,2169.32,23.73636364,88,84,0.954545455
299,rabi,rice,80,40,40,5.68,127.68,20.8,88000,94250,1.071022727
300,kharif,rice,80,40,40,5.58,1543.76,27.33333333,68782,40252,0.585211247
301,kharif,cotton,120,40,20,5.5,1543.76,27.33333333,40,19,0.475
302,kharif,jute,80,40,40,5.38,1543.76,27.33333333,10650,93783,8.805915493
303,kharif,maize,80,40,20,5.56,1543.76,27.33333333,811,494,0.609124538
304,rabi,rapeseed,50,40,20,4.82,127.68,20.8,24378,11522,0.472639265
305,rabi,wheat,60,30,30,6.6,127.68,20.8,3665,4021,1.097135061
306,summer,rice,80,40,40,5.54,497.88,25.03333333,7767,8937,1.150637312
307,whole year,arecanut,100,40,140,6.06,2169.32,23.73636364,4325,1710,0.395375723
308,whole year,onion,120,60,65,6,2169.32,23.73636364,594,1485,2.5
309,whole year,potato,180,60,90,4.94,2169.32,23.73636364,5196,29065,5.593725943
310,whole year,sesamum,30,15,30,6.58,2169.32,23.73636364,928,572,0.61637931
311,whole year,sweetpotato,90,20,120,5.14,2169.32,23.73636364,424,1060,2.5
312,whole year,tapioca,50,50,50,5.48,2169.32,23.73636364,235,933,3.970212766
313,whole year,turmeric,25,60,100,4.84,2169.32,23.73636364,871,530,0.608495982
314,rabi,rice,80,40,40,5.4,127.68,20.8,93133,70404,0.755951167
315,kharif,rice,80,40,40,5.32,1543.76,27.33333333,12750,7036,0.551843137
316,kharif,cotton,120,40,20,5.58,1543.76,27.33333333,12,5,0.416666667
317,kharif,jute,80,40,40,5.36,1543.76,27.33333333,205,1959,9.556097561
318,kharif,maize,80,40,20,5.42,1543.76,27.33333333,512,479,0.935546875
319,rabi,rapeseed,50,40,20,5,127.68,20.8,12525,5263,0.420199601
320,rabi,wheat,60,30,30,6.12,127.68,20.8,3500,4463,1.275142857
321,summer,rice,80,40,40,5.48,497.88,25.03333333,4525,3012,0.665635359
322,whole year,arecanut,100,40,140,5.88,2169.32,23.73636364,835,756,0.905389222
323,whole year,onion,120,60,65,5.94,2169.32,23.73636364,154,409,2.655844156
324,whole year,potato,180,60,90,5.02,2169.32,23.73636364,2744,16121,5.875
325,whole year,sesamum,30,15,30,6.54,2169.32,23.73636364,165,89,0.539393939
326,whole year,sweetpotato,90,20,120,4.82,2169.32,23.73636364,160,512,3.2
327,whole year,tapioca,50,50,50,5.68,2169.32,23.73636364,28,104,3.714285714
328,whole year,turmeric,25,60,100,4.84,2169.32,23.73636364,362,233,0.643646409
329,rabi,rice,80,40,40,5.5,127.68,20.8,44725,38042,0.850575741
330,kharif,rice,80,40,40,5.58,1543.76,27.33333333,62078,25030,0.403202423
331,kharif,cotton,120,40,20,5.44,1543.76,27.33333333,13,6,0.461538462
332,kharif,jute,80,40,40,5.66,1543.76,27.33333333,22734,181165,7.968901205
333,kharif,maize,80,40,20,5.44,1543.76,27.33333333,267,160,0.599250936
334,rabi,rapeseed,50,40,20,4.96,127.68,20.8,15510,7338,0.47311412
335,rabi,wheat,60,30,30,6.3,127.68,20.8,18270,25101,1.373891626
336,summer,rice,80,40,40,5.58,497.88,25.03333333,21085,15466,0.733507233
337,whole year,arecanut,100,40,140,6.14,2169.32,23.73636364,2210,979,0.442986425
338,whole year,onion,120,60,65,6.08,2169.32,23.73636364,1092,2839,2.59981685
339,whole year,potato,180,60,90,5.04,2169.32,23.73636364,5896,48613,8.245081411
340,whole year,sesamum,30,15,30,6.44,2169.32,23.73636364,1823,912,0.500274273
341,whole year,sweetpotato,90,20,120,5.04,2169.32,23.73636364,3009,12637,4.199734131
342,whole year,tapioca,50,50,50,5.36,2169.32,23.73636364,159,502,3.157232704
343,whole year,turmeric,25,60,100,4.92,2169.32,23.73636364,455,341,0.749450549
344,rabi,rice,80,40,40,5.6,127.68,20.8,54249,34696,0.639569393
345,kharif,rice,80,40,40,5.4,1543.76,27.33333333,10448,13674,1.308767228
346,kharif,cotton,120,40,20,5.32,1543.76,27.33333333,20,9,0.45
347,kharif,jute,80,40,40,5.52,1543.76,27.33333333,26,248,9.538461538
